COURSE NAME,CLUSTER,COURSE CODE,UNIVERSITY,CUT-OFF POINTS,MINIMUM SUBJECT REQUIREMENTS
,2,1087327,KISII UNIVERSITY,22.206,
,2,3890327,KOITALEEL SAMOEI UNIVERSITY COLLEGE,19.799,
,2,1165327,MAASAI MARA UNIVERSITY,19.799,
,2,1253327,MOI UNIVERSITY,19.799,
,2,1073327,RONGO UNIVERSITY,19.799,
,2,1166327,SOUTH EASTERN KENYA UNIVERSITY,19.799,
,2,1515327,TOM MBOYA UNIVERSITY,19.799,
,2,1114327,UNIVERSITY OF ELDORET,25.208,
,2,1263327,UNIVERSITY OF NAIROBI,26.752,
,2,,,,
BACHELOR OF SCIENCE IN INTERNATIONAL BUSINESS MANAGEMENT,2,,,,Mathematics: C
,2,1119153,AFRICA INTERNATIONAL UNIVERSITY,19.799,
,2,1078647,AFRICA NAZARENE UNIVERSITY,19.799,
,2,1173153,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,19.799,
,2,1053153,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1103647,KCA UNIVERSITY,19.799,
,2,1555153,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,19.799,
,2,1077153,KENYA METHODIST UNIVERSITY,19.799,
,2,1460205,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1229153,MASENO UNIVERSITY,19.799,
,2,1240153,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1196153,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,19.799,
,2,1060153,RIARA UNIVERSITY,19.799,
,2,1090153,SCOTT CHRISTIAN UNIVERSITY,19.799,
,2,1107153,ST PAULS UNIVERSITY,19.799,
,2,1063153,TECHNICAL UNIVERSITY OF MOMBASA,19.799,
,2,1515153,TOM MBOYA UNIVERSITY,19.799,
,2,1181153,"UNIVERSITY OF EASTERN AFRICA, BARATON",19.799,
,2,1425168,ZETECH UNIVERSITY,19.799,
,2,,,,
BACHELOR OF CO-OPERATIVE MANAGEMENT,2,,,,Mathematics: C
,2,1105510,CHUKA UNIVERSITY,19.799,
,2,1080510,CO-OPERATIVE UNIVERSITY OF KENYA,19.799,
,2,1080610,CO-OPERATIVE UNIVERSITY OF KENYA,19.799,
,2,1108510,KIBABII UNIVERSITY,19.799,
,2,1087510,KISII UNIVERSITY,19.799,
,2,1240510,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,,,,
BACHELOR OF CATERING AND HOSPITALITY MANAGEMENT,2,,,,
,2,1105387,CHUKA UNIVERSITY,22.257,None
,2,1080387,CO-OPERATIVE UNIVERSITY OF KENYA,28.062,
,2,1229B52,MASENO UNIVERSITY,25.466,
,2,1112470,TECHNICAL UNIVERSITY OF KENYA,26.419,
,2,1685387,THARAKA UNIVERSITY,22.406,
,2,,,,
BACHELOR OF SCIENCE (FOOD OPERATIONS MANAGEMENT),2,,,,
,2,1249639,Jomo Kenyatta University of Agriculture and Technology,26.241,None
,2,1114353,University of Eldoret,19.799,
,,,,,
BACHELOR OF ARTS,3,,,,None
,,1700201,BOMET UNIVERSITY COLLEGE,22.194,
,,1700101,BOMET UNIVERSITY COLLEGE,23.388,
,,1105101,CHUKA UNIVERSITY,24.851,
,,1057101,EGERTON UNIVERSITY,21.799,
,,5535101,KABARNET UNIVERSITY COLLEGE,-,
,,1244201,KARATINA UNIVERSITY,21.736,
,,1111101,KENYATTA UNIVERSITY,25.617,
,,1087101,KISII UNIVERSITY,22.173,
,,3890101,KOITALEEL SAMOEI UNIVERSITY COLLEGE,23.541,
,,1170101,MACHAKOS UNIVERSITY,23.405,
,,1229101,MASENO UNIVERSITY,23.582,
,,1253101,MOI UNIVERSITY,22.729,
,,1253201,MOI UNIVERSITY,22.132,
,,1164101,MULTIMEDIA UNIVERSITY OF KENYA,22.851,
,,1117101,PWANI UNIVERSITY,23.038,
,,1073101,RONGO UNIVERSITY,24.252,
,,1166101,SOUTH EASTERN KENYA UNIVERSITY,23.008,
,,1685101,THARAKA UNIVERSITY,23.322,
,,1515101,TOM MBOYA UNIVERSITY,24.247,
,,1263101,UNIVERSITY OF NAIROBI,23.031,
,,,,,
BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES),3,,,,None
,,1078136,AFRICA NAZARENE UNIVERSITY,20.473,
,,1700598,BOMET UNIVERSITY COLLEGE,20.473,
,,1105136,CHUKA UNIVERSITY,27.699,
,,1057136,EGERTON UNIVERSITY,28.366,
,,1470136,KAIMOSI FRIENDS UNIVERSITY,20.473,
,,1244136,KARATINA UNIVERSITY,25.545,
,,1103136,KCA UNIVERSITY,20.473,
,,1077136,KENYA METHODIST UNIVERSITY,20.473,
,,1108136,KIBABII UNIVERSITY,23.537,
,,1087136,KISII UNIVERSITY,25.081,
,,1176136,LAIKIPIA UNIVERSITY,20.473,
,,1165136,MAASAI MARA UNIVERSITY,23.094,
,,1229136,MASENO UNIVERSITY,27.306,
,,1082136,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,25.242,
,,1279672,MOUNT KENYA UNIVERSITY,23.009,
,,1246136,MURANG'A UNIVERSITY OF TECHNOLOGY,22.212,
,,1166136,SOUTH EASTERN KENYA UNIVERSITY,23.425,
,,1107136,ST PAULS UNIVERSITY,20.473,
